EnvironmentEffect/&CollapsingRoofTitle	Tetto che crolla
EnvironmentEffect/&CollapsingRoofDescription	Diverse rocce e massi cadono a terra
EnvironmentEffect/&DisturbingRunesTitle	Rune inquietanti
EnvironmentEffect/&DisturbingRunesDescription	Le rune che influenzano la mente danneggiano l'anima e causano comportamenti casuali
EnvironmentEffect/&DeathGlyphTitle	Glifo della morte
EnvironmentEffect/&DeathGlyphDescription	Calpestare questo provoca danni necrotici e terrore
EnvironmentEffect/&FireBurstTitle	Scoppio di fuoco
EnvironmentEffect/&FireBurstDescription	Un'eruzione provoca danni da incendio
EnvironmentEffect/&GroundSpikesTitle	Picchi di terra
EnvironmentEffect/&GroundSpikesDescription	Le punte si alzano da terra, causando danni penetranti
EnvironmentEffect/&LightningDischargeTitle	Scarica di fulmini
EnvironmentEffect/&LightningDischargeDescription	Scarica l'elettricità nelle vicinanze, provocando danni elettrici
EnvironmentEffect/&PoisonCloudTitle	Nube velenosa
EnvironmentEffect/&PoisonCloudDescription	Una nuvola nociva infligge danni da veleno e la condizione avvelenata
