NamedPlace/&AerElai_Title	L'AER-ELAI
NamedPlace/&BADLANDS_Title	I BADLANDS
NamedPlace/&CopperheadRoad_Title	TESTA DI RAME\nSTRADA
NamedPlace/&DUCHY_caercyflen_Title	Ducato di\nCaer Cyflen
NamedPlace/&DUCHY_easternforests_Title	Ducato di\nle foreste orientali
NamedPlace/&DUCHY_northernhills_Title	Ducato di\nle colline settentrionali
NamedPlace/&DUCHY_northernplains_Title	Ducato di\nle pianure settentrionali
NamedPlace/&DUCHY_southmarsh_Title	Ducato di\nla palude meridionale
NamedPlace/&DUCHY_westernfields_Title	Ducato di\ni campi occidentali
NamedPlace/&Einarium_Title	L'Einareum
NamedPlace/&GALLIVAN_Title	REGNO DI\nGALLIVAN
NamedPlace/&Kaupaapunki_Title	KAUPAAPUNKI
NamedPlace/&MASGARTH_Title	PRINCIPATO\nDI MASGARTH
NamedPlace/&NEWEMPIRE_Title	IL NUOVO IMPERO
NamedPlace/&Sandreed_Title	SABBIATO
NamedPlace/&SNOWALLIANCE_Title	L'ALLEANZA DELLA NEVE
