EnvironmentEffect/&CollapsingRoofTitle	Telhado em colapso
EnvironmentEffect/&CollapsingRoofDescription	Várias pedras e pedregulhos caem no chão
EnvironmentEffect/&DisturbingRunesTitle	Runas Perturbadoras
EnvironmentEffect/&DisturbingRunesDescription	Runas que afetam a mente danificam a alma e causam comportamento aleatório
EnvironmentEffect/&DeathGlyphTitle	Glifo da Morte
EnvironmentEffect/&DeathGlyphDescription	Pisar nisso causa dano necrótico e terror
EnvironmentEffect/&FireBurstTitle	Estouro de fogo
EnvironmentEffect/&FireBurstDescription	Uma erupção causa danos de fogo
EnvironmentEffect/&GroundSpikesTitle	Picos de solo
EnvironmentEffect/&GroundSpikesDescription	Picos sobem do solo, causando danos perfurantes
EnvironmentEffect/&LightningDischargeTitle	Descarga de relâmpago
EnvironmentEffect/&LightningDischargeDescription	Descarrega eletricidade nas proximidades, causando danos elétricos
EnvironmentEffect/&PoisonCloudTitle	Nuvem venenosa
EnvironmentEffect/&PoisonCloudDescription	Uma nuvem nociva inflige danos de veneno e a condição de envenenamento
