NamedPlace/&AerElai_Title	O AER-ELAI
NamedPlace/&BADLANDS_Title	AS BADLANDS
NamedPlace/&CopperheadRoad_Title	COPPERHEAD\nESTRADA
NamedPlace/&DUCHY_caercyflen_Title	Ducado de\nCaer Cyflen
NamedPlace/&DUCHY_easternforests_Title	Ducado de\nas Florestas Orientais
NamedPlace/&DUCHY_northernhills_Title	Ducado de\nas colinas do norte
NamedPlace/&DUCHY_northernplains_Title	Ducado de\nas planícies do norte
NamedPlace/&DUCHY_southmarsh_Title	Ducado de\no South Marsh
NamedPlace/&DUCHY_westernfields_Title	Ducado de\nos campos ocidentais
NamedPlace/&Einarium_Title	O Einareum
NamedPlace/&GALLIVAN_Title	REINO DE\nGALLIVAN
NamedPlace/&Kaupaapunki_Title	KAUPAAPUNKI
NamedPlace/&MASGARTH_Title	PRINCIPADO\nDE MASGARTH
NamedPlace/&NEWEMPIRE_Title	O NOVO IMPÉRIO
NamedPlace/&Sandreed_Title	SANDREED
NamedPlace/&SNOWALLIANCE_Title	THE SNOW ALLIANCE
